Organism,Scaffold,Start,End,Score,CAA19960.1,CAA19961.1,CAA19962.1,CAA19963.1
Streptomyces viridosporus NRRL 2414,NZ_MSGP01000298.1,14438,20967,7.2873,1,1,1,1
Streptomyces viridosporus T7A ATCC 39115,NZ_CP023700.1,982804,989399,7.2909,1,1,1,1
Streptomyces viridosporus T7A ATCC 39115,CP023700.1,982804,989399,7.2910,1,1,1,1
Streptomyces malachitofuscus JCM 4493,BMUF01000006.1,384017,390663,7.2998,1,1,1,1
Streptomyces niveoruber JCM 4234,NZ_BMSL01000016.1,37811,44358,7.2809,1,1,1,1
Streptomyces griseoviridis JCM 4250,NZ_BMSM01000027.1,22340,29037,7.2817,1,1,1,1
Streptomyces griseoviridis DSM 40229,NZ_JAURUD010000001.1,6090054,6096751,7.2817,1,1,1,1
Streptomyces griseoviridis NPDC030835,NZ_JBEZVV010000015.1,37845,44392,7.2809,1,1,1,1
Streptomyces daghestanicus JCM 4365,BMTC01000017.1,64317,71074,7.2817,1,1,1,1
Streptomyces daghestanicus NBRC 12762,NZ_BNDX01000014.1,289700,296397,7.2817,1,1,1,1
Streptomyces flaveolus JCM 4032,NZ_BMRV01000018.1,55258,61733,7.2761,1,1,1,1
Streptomyces flaveolus JCM 4032,BMRV01000018.1,55258,61733,7.2762,1,1,1,1
