Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39694.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39698.1,CAB39699.1,CAB39700.1,CAB39701.1,CAB39702.1,CAB39703.1,CAB39704.1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000008.1,212644,226463,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000024.1,115331,129160,25.8674,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000007.1,243352,257170,25.8665,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000015.1,123933,137707,25.8611,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000001.1,93565,107339,25.8634,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000016.1,123656,137430,25.8644,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000007.1,387192,401011,25.8668,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000001.1,461348,475118,25.8635,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000104.1,156,6893,11.4152,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces tendae NPDC001029,NZ_JBIAYI010000001.1,1052117,1065891,25.8639,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000003.1,516878,530707,25.8666,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000004.1,180289,194118,25.8666,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000004.1,161335,175123,25.8640,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000009.1,69759,83577,25.8661,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000001.1,306764,320582,25.8663,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000001.1,286451,300269,25.8663,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000011.1,34571,48389,25.8659,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000019.1,45315,59107,25.8661,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000002.1,105544,119336,25.8661,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae SAI-227,NZ_JBIYET010000001.1,7148061,7161853,25.8662,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae SAI-227,JBIYET010000001.1,7148061,7161853,25.8706,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000002.1,454089,467877,25.8642,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000005.1,460004,473765,25.8637,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000001.1,454309,468074,25.8631,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000005.1,159294,173053,25.8624,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000004.1,71184,84943,25.8626,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000001.1,391419,405178,25.8634,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000023.1,83457,97193,25.8564,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000002.1,225755,239503,25.8548,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000250.1,243,8644,15.5268,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae NPDC048071,NZ_JBEZNE010000014.1,93139,106890,25.8619,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000002.1,319389,327790,15.5271,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae NPDC058749,NZ_JBHYQA010000024.1,124123,132524,15.5270,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae NPDC048598,NZ_JBEZID010000029.1,73542,87283,25.8591,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000011.1,47008,60773,25.8595,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000013.1,50695,64450,25.8625,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000019.1,33898,47657,25.8634,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000009.1,212419,226178,25.8634,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000029.1,243,8644,15.5231,1,1,1,1,1,1,1,1,0,0,0,0,0
Kitasatospora aureofaciens Tu117,AP028963.1,1246725,1260499,17.6674,1,1,1,0,0,1,0,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000020.1,19620,33383,25.8652,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14163,NZ_JAAGMA010000567.1,21958,35758,25.8665,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14163,JAAGMA010000567.1,21958,35758,22.8571,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000005.1,207877,221667,25.8653,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056964,NZ_JBHURH010000035.1,17182,30972,25.8652,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000001.1,677206,691002,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000016.1,17049,30845,25.8651,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000005.1,127667,141463,25.8647,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000007.1,127503,141299,25.8647,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000011.1,20983,34779,25.8651,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000002.1,1051885,1065681,25.8653,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,JAPENQ010000002.1,1051885,1065681,25.8663,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000016.1,60595,74391,25.8653,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,839970,853766,25.8647,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,CP108218.1,839970,853766,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000002.1,728951,742740,25.8642,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059674,NZ_JBHWEO010000266.1,250,8664,15.5288,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000008.1,24712,38513,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000019.1,60215,74016,25.8649,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000001.1,782200,796000,25.8666,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000001.1,164817,178618,25.8639,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000003.1,165734,179524,25.8654,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000101.1,7589,21390,25.8676,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14172,JAAGMB010000101.1,7589,21390,22.8583,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000034.1,25003,38724,25.8648,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000005.1,390935,404731,25.8661,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus DBR11,NZ_JAMOLO010000050.1,14779,28524,25.8664,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus DBR11,JAMOLO010000050.1,14779,28524,25.8617,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceorubidus NPDC001615,NZ_JBEOZY010000030.1,48258,62019,25.8603,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceorubidus NRRL B-16381,NZ_JODM01000041.1,28845,41995,22.7846,1,1,1,1,1,1,1,1,0,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000007.1,124931,138675,25.8681,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000008.1,88733,102477,25.8690,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,BAABIV010000007.1,124931,138675,25.8695,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius CS29,NZ_JAVCWJ010000010.1,102076,115815,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius Lnu-12,NZ_JAXLNW010000003.1,442564,456303,25.8640,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius VRMG2420,NZ_JBITPR010000021.1,66239,79978,25.8658,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius SS06011,NZ_JACLZH010000003.1,476382,490122,25.8667,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000001.1,570032,583745,25.8525,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,NZ_JAMHJP010000012.1,85108,98821,25.8519,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,JAMHJP010000012.1,85108,98821,25.8480,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000004.1,51609,65322,25.8535,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000008.1,260685,274398,25.8522,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000050.1,51799,65512,25.8531,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000065.1,6049,19762,25.8531,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000026.1,84437,98150,25.8522,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000018.1,111709,125422,25.8531,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000001.1,232615,246328,25.8542,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC006376,NZ_JBEXQH010000005.1,84670,98383,25.8519,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC012537,NZ_JBIBEH010000001.1,447471,461184,25.8531,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus IBSBF 3360,NZ_JAJSZE010000051.1,25188,38901,25.8539,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093553,NZ_JBIWJE010000001.1,625704,639417,25.8536,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC057174,NZ_JBHUVW010000169.1,751,14464,25.8534,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces flaveolus NPDC000175,NZ_JBEPEV010000005.1,102826,116548,22.7745,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus NPDC018018,NZ_JBIRGE010000001.1,950894,964616,22.7745,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus NPDC018017,NZ_JBIRGF010000001.1,950725,964447,22.7745,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus NPDC086842,NZ_JBIVAR010000002.1,293221,306943,22.7758,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus NPDC005559,NZ_JBEXDF010000005.1,239958,253680,19.6973,1,1,1,1,1,1,1,1,0,1,1,0,1
Streptomyces flaveolus NPDC005910,NZ_JBEXVU010000006.1,183385,197107,19.6980,1,1,1,1,1,1,1,1,0,1,1,0,1
Streptomyces flaveolus NPDC015091,NZ_JBIBVL010000009.1,103723,116115,17.5825,1,1,1,1,1,1,1,1,0,0,1,0,1
Streptomyces flaveolus NPDC052248,NZ_JBFAUY010000052.1,29207,41599,19.6512,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus NPDC052172,NZ_JBFAVR010000043.1,24024,36417,19.6516,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus NPDC000675,NZ_JBEPCO010000002.1,349796,362189,19.6538,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus NPDC000632,NZ_JBEPCV010000030.1,33515,45908,19.6538,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus NPDC044998,NZ_JBEZBB010000027.1,29415,41808,19.6538,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus NPDC047111,NZ_JBEYUO010000032.1,31409,45140,22.7722,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus NPDC014719,NZ_JBIBYT010000012.1,63962,76355,19.6573,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus NPDC014714,NZ_JBIBYU010000003.1,217852,230245,19.6560,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces flaveolus JCM 4032,NZ_BMRV01000008.1,199524,213255,22.7723,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus JCM 4032,BMRV01000008.1,199524,213255,19.7676,1,1,0,1,1,1,1,1,1,1,1,0,1
Streptomyces flaveolus NPDC059703,NZ_JBHWFN010000006.1,185856,197234,17.5793,1,1,1,1,1,1,1,1,0,0,1,0,1
Streptomyces solaniscabiei FS75,NZ_JADGFX010000004.1,168102,181824,22.7719,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces solaniscabiei FS66,NZ_JADGFY010000005.1,186937,200659,22.7719,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces solaniscabiei N26,NZ_WQLR01000084.1,8582,22304,22.7719,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces solaniscabiei FS70,NZ_WQLU01000015.1,37629,51351,22.7719,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces lienomycini JCM 6925,NZ_BAAATN010000024.1,31212,44908,22.7198,1,1,1,1,1,1,1,1,1,0,1,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHSJO010000001.1,987331,1001027,22.7209,1,1,1,1,1,1,1,1,1,0,1,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHUEU010000002.1,6871484,6885180,22.7209,1,1,1,1,1,1,1,1,1,0,1,1,1
Streptomyces lienomycini JCM 6925,BAAATN010000024.1,31212,44908,19.7140,1,1,0,1,1,1,1,1,1,0,1,1,1
Streptomyces lienomycini DSM 41475,NZ_CP116257.1,2989986,3003682,22.7209,1,1,1,1,1,1,1,1,1,0,1,1,1
Streptomyces pactum ACT12,NZ_CP019724.1,1270186,1283128,21.7693,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces pactum ACT12,CP019724.1,1270186,1283128,21.7737,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces thinghirensis JCM 18306,NZ_BAABJR010000015.1,200809,209234,15.4909,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces thinghirensis JCM 18306,BAABJR010000015.1,200809,209234,9.4486,1,1,0,1,1,1,0,1,0,0,0,0,0
Streptomyces mutabilis TRM 76172,NZ_JAMYEN010000190.1,1035,9521,15.4909,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces mutabilis NPDC006342,NZ_JBEXQT010000001.1,35740,48685,21.7741,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058347,NZ_JBHXII010000001.1,145334,158279,21.7752,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058354,NZ_JBHXIP010000002.1,430915,443860,21.7744,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058363,NZ_JBHXIX010000002.1,291297,304242,21.7744,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis TRM76172,JAMYEN010000190.1,1035,9521,15.4909,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces mutabilis PU_KB6-10,NZ_JASHLU010000012.1,95899,108844,21.7704,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC007820,NZ_JBIAEN010000026.1,18620,31565,21.7771,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC008028,NZ_JBIBIS010000001.1,955823,968768,21.7771,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC008027,NZ_JBIBIT010000015.1,31384,44329,21.7771,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis MPB24,NZ_CP176874.1,6804132,6817077,21.7733,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058841,NZ_JBHYNE010000001.1,178096,191041,21.7732,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058836,NZ_JBHYNH010000055.1,18191,31136,21.7734,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058835,NZ_JBHYNI010000103.1,540,8996,15.4912,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces mutabilis NPDC058831,NZ_JBHYNM010000007.1,267960,280905,21.7737,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058827,NZ_JBHYNQ010000104.1,2736,12357,17.5649,1,1,1,1,1,1,1,1,1,0,0,0,0
Streptomyces mutabilis NPDC058824,NZ_JBHYNT010000002.1,572,9028,15.4914,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces mutabilis NPDC058816,NZ_JBHYNX010000010.1,3286,16231,21.7734,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC058833,NZ_JBHYNK010000085.1,16608,25064,15.4912,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces mutabilis NPDC052167,NZ_JBFAVS010000001.1,629820,642765,21.7741,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis NPDC017130,NZ_JBIROJ010000006.1,464494,477439,21.7736,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis TRM 45540,NZ_KN039947.1,114480,127418,21.7644,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis JCM 4400,NZ_BMTT01000030.1,45194,53644,15.4859,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces mutabilis JCM 4400,NZ_JBHLVD010000015.1,86445,99383,21.7653,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces mutabilis JCM 4400,BMTT01000030.1,45194,53644,15.4899,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces olivaceus NPDC057211,NZ_JBHUWP010000143.1,312,8744,12.4372,1,1,1,1,0,1,1,1,0,0,0,0,0
Streptomyces olivaceus NPDC057214,NZ_JBHUWQ010000027.1,19572,33367,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057215,NZ_JBHUWR010000004.1,19585,33380,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057216,NZ_JBHUWS010000002.1,331407,345202,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057224,NZ_JBHUWX010000004.1,132773,146568,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057228,NZ_JBHUXB010000056.1,15801,29596,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057233,NZ_JBHUXF010000002.1,331391,345186,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057252,NZ_JBHUXU010000012.1,56277,70072,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR3,NZ_JAHSSJ010000003.1,238312,246744,12.4374,1,1,1,1,0,1,1,1,0,0,0,0,0
Streptomyces olivaceus CR3,JAHSSJ010000003.1,238312,246744,9.4300,1,1,0,1,0,1,1,1,0,0,0,0,0
Streptomyces olivaceus NPDC057146,NZ_JBHUVD010000023.1,20987,34785,22.7686,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC057337,NZ_JBHVAD010000002.1,34977,48775,22.7686,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC007996,NZ_JBIBJB010000012.1,5797,19613,22.7677,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC088797,NZ_JBIVJZ010000001.1,5798,19614,22.7677,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus xian20,NZ_JAHSTG010000022.1,73638,87439,22.7684,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus xian20,JAHSTG010000022.1,73638,87439,19.7610,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC003520,NZ_JBEXMZ010000016.1,84410,98217,22.7665,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC003414,NZ_JBIAOO010000001.1,1151947,1165754,22.7677,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC020953,NZ_JBIRRG010000001.1,225944,239751,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC020867,NZ_JBIRSB010000001.1,243351,257158,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC020865,NZ_JBIRSC010000004.1,647,9088,12.4362,1,1,1,1,0,1,1,1,0,0,0,0,0
Streptomyces olivaceus NPDC020860,NZ_JBIRSE010000001.1,225816,239623,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus NPDC020859,NZ_JBIRSF010000005.1,225976,239783,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus DC10-5,NZ_BNEF01000003.1,1125846,1139662,22.7679,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus DC10-5,BNEF01000003.1,1125846,1139662,22.8288,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces olivaceus N11-26,NZ_BNEG01000002.1,256548,270358,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus N11-26,BNEG01000002.1,256548,270358,19.7622,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR2,NZ_JAHSSI010000006.1,126760,140576,22.7674,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR2,JAHSSI010000006.1,126760,140576,19.7602,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR12,NZ_JAHSSL010000011.1,126686,140502,22.7674,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR12,JAHSSL010000011.1,126686,140502,19.7602,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR18,NZ_JAHSSM010000034.1,86526,94976,12.4356,1,1,1,1,0,1,1,1,0,0,0,0,0
Streptomyces olivaceus CR18,JAHSSM010000034.1,86526,94976,9.4284,1,1,0,1,0,1,1,1,0,0,0,0,0
Streptomyces olivaceus CR22,NZ_JAHSSN010000006.1,245627,259443,22.7678,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus CR22,JAHSSN010000006.1,245627,259443,19.7606,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ1.045,NZ_JAHSSQ010000003.1,23056,36866,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ1.045,JAHSSQ010000003.1,23056,36866,19.7610,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ1.066,NZ_JAHSSR010000004.1,23056,36866,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ1.066,JAHSSR010000004.1,23056,36866,19.7610,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ1.268,NZ_JAHSSS010000005.1,718117,731927,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ1.268,JAHSSS010000005.1,718117,731927,19.7610,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.409,NZ_JAHSST010000002.1,944559,958369,22.7685,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.409,JAHSST010000002.1,944559,958369,19.7611,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.410,NZ_JAHSSU010000011.1,283435,297245,22.7684,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.410,JAHSSU010000011.1,283435,297245,19.7613,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.411,NZ_JAHSSV010000006.1,322354,336164,22.7684,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.411,JAHSSV010000006.1,322354,336164,19.7613,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.417,NZ_JAHSSW010000015.1,210303,224113,22.7677,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.417,JAHSSW010000015.1,210303,224113,19.7606,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces olivaceus FXJ2.418,NZ_JAHSSX010000002.1,751834,765644,22.7677,1,1,1,1,0,1,1,1,1,1,1,1,1
