Organism,Scaffold,Start,End,Score,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000005.1,38773,43791,7.3213,1,1,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000006.1,245192,250210,7.3219,1,1,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000007.1,562963,567981,7.3219,1,1,1,1
Streptomyces ardesiacus IBSBF 3360,NZ_JAJSZE010000047.1,28182,33200,7.3218,1,1,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000005.1,250148,255166,7.3223,1,1,1,1
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000005.1,148485,153503,7.3221,1,1,1,1
Streptomyces ardesiacus NPDC012537,NZ_JBIBEH010000005.1,161842,166860,7.3221,1,1,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000009.1,250047,255065,7.3223,1,1,1,1
Streptomyces ardesiacus NPDC006376,NZ_JBEXQH010000001.1,128382,133400,7.3220,1,1,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000005.1,244852,249870,7.3220,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,NZ_JAMHJP010000017.1,84394,89412,7.3218,1,1,1,1
Streptomyces ardesiacus NPDC093553,NZ_JBIWJE010000003.1,251294,256312,7.3215,1,1,1,1
Streptomyces ardesiacus NPDC057174,NZ_JBHUVW010000125.1,7811,12829,7.3219,1,1,1,1
Streptomyces ardesiacus NPDC127099,NZ_JBHXFK010000122.1,7821,12839,7.3214,1,1,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000001.1,507206,512224,7.3214,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_BAAATN010000002.1,95114,100141,7.3212,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHUEU010000002.1,2750306,2755333,7.3212,1,1,1,1
Streptomyces lienomycini DSM 41475,NZ_CP116257.1,6733514,6738541,7.3212,1,1,1,1
Streptomyces olivaceus NPDC101122,NZ_JBIVZD010000001.1,292943,298006,7.3166,1,1,1,1
Streptomyces olivaceus TRM81-6,NZ_JAHSTA010000005.1,298731,303794,7.3161,1,1,1,1
Streptomyces olivaceus NPDC000398,NZ_JBEPDQ010000044.1,15770,20833,7.3165,1,1,1,1
Streptomyces olivaceus NPDC029509,NZ_JBEZWG010000004.1,50561,55624,7.3165,1,1,1,1
Streptomyces olivaceus FXJ2.409,NZ_JAHSST010000005.1,147477,152540,7.3133,1,1,1,1
Streptomyces olivaceus FXJ2.417,NZ_JAHSSW010000006.1,30753,35816,7.3162,1,1,1,1
Streptomyces olivaceus FXJ2.418,NZ_JAHSSX010000006.1,264831,269894,7.3162,1,1,1,1
Streptomyces olivaceus FXJ2.420,NZ_JAHSSY010000009.1,252935,257998,7.3162,1,1,1,1
Streptomyces olivaceus MM1-13,NZ_JAHSTB010000005.1,272310,277373,7.3133,1,1,1,1
Streptomyces olivaceus MM1-7,NZ_JAHSTC010000007.1,272310,277373,7.3133,1,1,1,1
Streptomyces olivaceus KLBMP 1036,NZ_JAHSTH010000005.1,30709,35772,7.3162,1,1,1,1
Streptomyces olivaceus FXJ8.012,NZ_JAHSTP010000006.1,147477,152540,7.3133,1,1,1,1
Streptomyces olivaceus FXJ8.101,NZ_JAHSTR010000005.1,147477,152540,7.3133,1,1,1,1
Streptomyces olivaceus NPDC057263,NZ_JBHUYC010000003.1,268663,273726,7.3162,1,1,1,1
Streptomyces olivaceus NPDC059449,NZ_JBHYVG010000027.1,42943,48006,7.3162,1,1,1,1
Streptomyces olivaceus NPDC006858,NZ_JBIAGD010000015.1,85812,90875,7.3172,1,1,1,1
Streptomyces olivaceus KLBMP 5084,CP016795.1,2737711,2742774,7.3162,1,1,1,1
Streptomyces olivaceus xian20,NZ_JAHSTG010000007.1,264972,270035,7.3157,1,1,1,1
Streptomyces olivaceus NPDC013800,NZ_JBICBB010000003.1,170471,175534,7.3164,1,1,1,1
Streptomyces olivaceus N11-26,NZ_BNEG01000005.1,802604,807667,7.3165,1,1,1,1
Streptomyces olivaceus xian7,NZ_JAHSTF010000005.1,282874,287937,7.3165,1,1,1,1
Streptomyces olivaceus NPDC001386,NZ_JBIAWN010000003.1,233020,238083,7.3160,1,1,1,1
Streptomyces olivaceus CGMCC 4.1369,NZ_JAHSTE010000010.1,231889,236952,7.3158,1,1,1,1
Streptomyces olivaceus NRRL B-3009,NZ_JOFH01000020.1,24210,29273,7.3158,1,1,1,1
Streptomyces olivaceus NPDC017221,NZ_JBIRNF010000006.1,273331,278394,7.3161,1,1,1,1
Streptomyces olivaceus NPDC017217,NZ_JBIRNI010000004.1,273551,278614,7.3161,1,1,1,1
Streptomyces olivaceus NPDC017216,NZ_JBIRNJ010000005.1,273331,278394,7.3161,1,1,1,1
Streptomyces olivaceus NPDC017211,NZ_JBIRNM010000005.1,273495,278558,7.3161,1,1,1,1
Streptomyces olivaceus NPDC017205,NZ_JBIRNO010000006.1,235944,241007,7.3161,1,1,1,1
Streptomyces olivaceus NPDC017136,NZ_JBIROH010000006.1,235944,241007,7.3161,1,1,1,1
Streptomyces olivaceus NPDC005976,NZ_JBEXUT010000064.1,34237,39300,7.3153,1,1,1,1
Streptomyces olivaceus NPDC005975,NZ_JBEXUU010000085.1,14738,19801,7.3153,1,1,1,1
Streptomyces olivaceus FXJ1.045,NZ_JAHSSQ010000013.1,232790,237853,7.3154,1,1,1,1
Streptomyces olivaceus FXJ1.066,NZ_JAHSSR010000013.1,232790,237853,7.3154,1,1,1,1
Streptomyces olivaceus FXJ1.268,NZ_JAHSSS010000013.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus FXJ3.001,NZ_JAHSSZ010000015.1,232790,237853,7.3154,1,1,1,1
Streptomyces olivaceus MM5-2,NZ_JAHSTD010000013.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus FXJ6.020,NZ_JAHSTI010000011.1,75579,80642,7.3154,1,1,1,1
Streptomyces olivaceus FXJ6.027,NZ_JAHSTJ010000010.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus FXJ7.023,NZ_JAHSTK010000015.1,232790,237853,7.3154,1,1,1,1
Streptomyces olivaceus FXJ7.105,NZ_JAHSTL010000012.1,75579,80642,7.3154,1,1,1,1
Streptomyces olivaceus FXJ7.129,NZ_JAHSTM010000012.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus FXJ7-4,NZ_JAHSTN010000012.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus FXJ8.006,NZ_JAHSTO010000012.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus FXJ8.063,NZ_JAHSTQ010000013.1,232771,237834,7.3154,1,1,1,1
Streptomyces olivaceus NPDC006857,NZ_JBIAGE010000006.1,222195,227258,7.3152,1,1,1,1
Streptomyces olivaceus NPDC058785,NZ_JBHYOZ010000009.1,203716,208779,7.3148,1,1,1,1
Streptomyces cyaneogriseus subsp. noncyanogenus NMWT 1,NZ_CP010849.1,2970448,2975460,7.3071,1,1,1,1
Streptomyces viridiviolaceus JCM 4855,NZ_BMWA01000003.1,238584,243602,7.3122,1,1,1,1
Streptomyces leeuwenhoekii C34,NZ_AZSD01000082.1,14208,19220,7.3081,1,1,1,1
Streptomyces leeuwenhoekii NPDC015535,NZ_JBIBSX010000012.1,80414,85426,7.3084,1,1,1,1
Streptomyces leeuwenhoekii C58,NZ_LFEH01000057.1,7920,12932,7.3081,1,1,1,1
Streptomyces leeuwenhoekii type strain (C34 = DSM 42122 = NRRL B-24963),NZ_LN831790.1,5237175,5242187,7.3081,1,1,1,1
Streptomyces leeuwenhoekii C34 (= DSM 42122 = NRRL B-24963),LN831790.1,5237175,5242187,7.3081,1,1,1,1
Streptomyces leeuwenhoekii NPDC000029,NZ_JBIBAD010000009.1,245848,250860,7.3079,1,1,1,1
Streptomyces leeuwenhoekii NPDC052441,NZ_JBIUAR010000001.1,247355,252367,7.3079,1,1,1,1
Streptomyces flaveolus NPDC000175,NZ_JBEPEV010000008.1,353541,358565,7.3124,1,1,1,1
Streptomyces flaveolus NPDC018018,NZ_JBIRGE010000004.1,242632,247656,7.3124,1,1,1,1
Streptomyces flaveolus NPDC018017,NZ_JBIRGF010000002.1,585738,590762,7.3124,1,1,1,1
Streptomyces flaveolus NPDC005910,NZ_JBEXVU010000031.1,77058,82082,7.3114,1,1,1,1
Streptomyces flaveolus NPDC086842,NZ_JBIVAR010000001.1,686628,691652,7.3121,1,1,1,1
Streptomyces flaveolus NPDC059703,NZ_JBHWFN010000007.1,57483,62507,7.3138,1,1,1,1
Streptomyces flaveolus JCM 4032,NZ_BMRV01000006.1,182908,187932,7.3119,1,1,1,1
Streptomyces flaveolus NPDC052248,NZ_JBFAUY010000092.1,14062,19086,7.3128,1,1,1,1
Streptomyces flaveolus NPDC005559,NZ_JBEXDF010000004.1,256304,261328,7.3111,1,1,1,1
Streptomyces flaveolus NPDC047111,NZ_JBEYUO010000007.1,68236,73260,7.3123,1,1,1,1
Streptomyces flaveolus NPDC052219,NZ_JBFAVH010000005.1,302180,307204,7.3127,1,1,1,1
Streptomyces flaveolus NPDC000675,NZ_JBEPCO010000009.1,13712,18736,7.3133,1,1,1,1
Streptomyces flaveolus NPDC000632,NZ_JBEPCV010000015.1,44290,49314,7.3133,1,1,1,1
Streptomyces flaveolus NPDC044998,NZ_JBEZBB010000007.1,167606,172630,7.3133,1,1,1,1
Streptomyces flaveolus NPDC015091,NZ_JBIBVL010000001.1,908306,913330,7.3134,1,1,1,1
Streptomyces flaveolus NPDC052172,NZ_JBFAVR010000002.1,142711,147735,7.3126,1,1,1,1
Streptomyces flaveolus NPDC102396,NZ_JBIWKU010000001.1,891396,896420,7.3125,1,1,1,1
Streptomyces flaveolus NPDC097624,NZ_JBEOSC010000032.1,13601,18625,7.3118,1,1,1,1
Streptomyces flaveolus NPDC014719,NZ_JBIBYT010000001.1,250983,256007,7.3115,1,1,1,1
Streptomyces flaveolus NPDC014714,NZ_JBIBYU010000001.1,1058386,1063410,7.3120,1,1,1,1
Streptomyces harenosi PRKS01-65,WYCT01000065.1,21167,26179,7.3076,1,1,1,1
Streptomyces solaniscabiei FS75,NZ_JADGFX010000023.1,33047,38071,7.3118,1,1,1,1
Streptomyces solaniscabiei FS66,NZ_JADGFY010000019.1,14123,19147,7.3118,1,1,1,1
Streptomyces solaniscabiei N26,NZ_WQLR01000081.1,14003,19027,7.3118,1,1,1,1
Streptomyces solaniscabiei FS70,NZ_WQLU01000011.1,33047,38071,7.3118,1,1,1,1
Streptomyces poriticola C6-003,NZ_JBAGKH010000007.1,185298,190328,7.3073,1,1,1,1
